Frame Count;Start Time;End Time
1687;2024-01-15 22:43:15.645;
1688;2024-01-15 22:43:15.660;
1689;2024-01-15 22:43:15.678;
1690;2024-01-15 22:43:15.695;
1691;2024-01-15 22:43:15.709;
1692;2024-01-15 22:43:15.726;2024-01-15 22:43:15.805
1693;2024-01-15 22:43:15.740;
1694;2024-01-15 22:43:15.752;
1695;2024-01-15 22:43:15.766;
1696;2024-01-15 22:43:15.781;
1697;2024-01-15 22:43:15.795;
1698;2024-01-15 22:43:15.809;
1699;2024-01-15 22:43:15.824;
1700;2024-01-15 22:43:15.840;
1701;2024-01-15 22:43:15.854;
1702;2024-01-15 22:43:15.868;
1703;2024-01-15 22:43:15.884;
1704;2024-01-15 22:43:15.898;
1705;2024-01-15 22:43:15.912;
1706;2024-01-15 22:43:15.926;
1707;2024-01-15 22:43:15.941;
1708;2024-01-15 22:43:15.952;
1709;2024-01-15 22:43:15.968;
1710;2024-01-15 22:43:15.982;
1711;2024-01-15 22:43:15.999;
1712;2024-01-15 22:43:16.014;
1713;2024-01-15 22:43:16.028;
1714;2024-01-15 22:43:16.044;
1715;2024-01-15 22:43:16.059;
1716;2024-01-15 22:43:16.073;
1717;2024-01-15 22:43:16.087;
1718;2024-01-15 22:43:16.102;
1719;2024-01-15 22:43:16.118;
1720;2024-01-15 22:43:16.131;
1721;2024-01-15 22:43:16.145;
1722;2024-01-15 22:43:16.160;
1723;2024-01-15 22:43:16.174;
1724;2024-01-15 22:43:16.184;
1725;2024-01-15 22:43:16.200;
1726;2024-01-15 22:43:16.214;
1727;2024-01-15 22:43:16.230;
1728;2024-01-15 22:43:16.245;
1729;2024-01-15 22:43:16.259;2024-01-15 22:43:16.305
1730;2024-01-15 22:43:16.275;
1731;2024-01-15 22:43:16.287;
1732;2024-01-15 22:43:16.304;
1733;2024-01-15 22:43:16.318;
1734;2024-01-15 22:43:16.334;
1735;2024-01-15 22:43:16.347;
1736;2024-01-15 22:43:16.361;
1737;2024-01-15 22:43:16.378;
1738;2024-01-15 22:43:16.391;
1739;2024-01-15 22:43:16.403;
1740;2024-01-15 22:43:16.417;
1741;2024-01-15 22:43:16.431;
1742;2024-01-15 22:43:16.446;
1743;2024-01-15 22:43:16.462;
1744;2024-01-15 22:43:16.476;
1745;2024-01-15 22:43:16.489;
1746;2024-01-15 22:43:16.509;
1747;2024-01-15 22:43:16.521;
1748;2024-01-15 22:43:16.537;
1749;2024-01-15 22:43:16.551;
1750;2024-01-15 22:43:16.564;
1751;2024-01-15 22:43:16.582;
1752;2024-01-15 22:43:16.596;
1753;2024-01-15 22:43:16.613;
1754;2024-01-15 22:43:16.627;
1755;2024-01-15 22:43:16.643;
1756;2024-01-15 22:43:16.658;
1757;2024-01-15 22:43:16.674;
1758;2024-01-15 22:43:16.687;
1759;2024-01-15 22:43:16.705;
1760;2024-01-15 22:43:16.718;
1761;2024-01-15 22:43:16.732;
1762;2024-01-15 22:43:16.746;
1763;2024-01-15 22:43:16.761;
1764;2024-01-15 22:43:16.777;
1765;2024-01-15 22:43:16.790;2024-01-15 22:43:16.879
1766;2024-01-15 22:43:16.809;
1767;2024-01-15 22:43:16.824;
1768;2024-01-15 22:43:16.843;
1769;2024-01-15 22:43:16.862;
1770;2024-01-15 22:43:16.878;
1771;2024-01-15 22:43:16.889;
1772;2024-01-15 22:43:16.910;
1773;2024-01-15 22:43:16.925;
1774;2024-01-15 22:43:16.941;
1775;2024-01-15 22:43:16.957;
1776;2024-01-15 22:43:16.975;
1777;2024-01-15 22:43:16.990;
